Datetime,Open,High,Low,Close,Volume
2022-02-08T00:00:00,655.6,662.9,644.25,660.1,3184065
2022-02-09T00:00:00,662.85,666.6,657.85,663.05,2200828
2022-02-10T00:00:00,666.2,678.0,664.1,672.55,4284880
2022-02-11T00:00:00,668.95,675.0,659.65,671.4,3122555
2022-02-14T00:00:00,656.3,665.0,604.3,626.55,6491576
2022-02-15T00:00:00,635.85,643.45,617.1,640.65,4001839
2022-02-16T00:00:00,641.15,646.15,635.0,638.0,1939683
2022-02-17T00:00:00,641.8,649.45,634.4,638.2,2382178
2022-02-18T00:00:00,635.2,642.5,631.15,632.85,1458069
2022-02-21T00:00:00,631.9,635.0,621.25,623.1,1857572
2022-02-22T00:00:00,611.0,624.7,602.5,622.0,3353278
2022-02-23T00:00:00,624.5,627.95,612.85,614.7,2339927
2022-02-24T00:00:00,599.0,604.5,566.0,569.35,5487481
2022-02-25T00:00:00,576.15,605.95,576.15,598.6,4524909
2022-02-28T00:00:00,591.5,629.8,590.2,627.45,7142843
2022-03-02T00:00:00,625.0,654.0,622.15,644.6,8894940
2022-03-03T00:00:00,650.5,662.5,649.3,654.7,5940599
2022-03-04T00:00:00,654.7,660.4,628.7,631.95,7605400
2022-03-07T00:00:00,630.0,643.0,622.5,637.15,5507113
2022-03-08T00:00:00,639.95,639.95,613.1,629.85,5422987
2022-03-09T00:00:00,629.0,634.25,618.0,627.15,3784214
2022-03-10T00:00:00,632.0,652.15,624.0,650.75,5201836
2022-03-11T00:00:00,648.5,673.0,647.2,669.75,8172290
2022-03-14T00:00:00,667.0,673.0,658.6,664.85,2529995
2022-03-15T00:00:00,659.0,660.8,635.0,641.15,4754984
2022-03-16T00:00:00,648.65,662.75,647.5,655.25,3150421
2022-03-17T00:00:00,662.0,692.95,660.35,685.1,9991824
2022-03-21T00:00:00,689.7,699.0,679.0,681.3,4609771
2022-03-22T00:00:00,678.85,699.9,677.45,696.5,4811589
2022-03-23T00:00:00,702.9,710.0,692.25,704.4,8964532
2022-03-24T00:00:00,704.5,719.5,704.2,715.1,6069039
2022-03-25T00:00:00,718.0,726.5,710.25,721.35,16121868
2022-03-28T00:00:00,722.0,731.45,718.15,730.1,8935680
2022-03-29T00:00:00,731.5,764.75,726.65,753.9,7285191
2022-03-30T00:00:00,750.0,750.7,714.95,717.55,5994838
2022-03-31T00:00:00,724.0,737.5,720.55,732.65,5946576
2022-04-01T00:00:00,735.0,749.95,728.5,732.2,5079937
2022-04-04T00:00:00,732.5,738.0,726.8,732.7,4901374
2022-04-05T00:00:00,737.9,746.0,730.15,733.45,3524949
2022-04-06T00:00:00,730.5,746.5,729.8,737.4,4111360
2022-04-07T00:00:00,735.0,742.75,725.75,728.05,2954985
2022-04-08T00:00:00,734.45,762.05,731.2,756.6,8125253
2022-04-11T00:00:00,756.0,775.0,756.0,767.4,7926472
2022-04-12T00:00:00,769.4,773.75,738.15,755.9,8595936
2022-04-13T00:00:00,760.0,781.1,760.0,766.35,6722613
2022-04-18T00:00:00,764.0,775.85,758.4,767.85,5866740
2022-04-19T00:00:00,772.7,790.0,736.1,746.4,7301285
2022-04-20T00:00:00,758.0,758.0,732.5,738.85,4679947
2022-04-21T00:00:00,744.0,747.25,725.5,734.2,3995936
2022-04-22T00:00:00,730.0,737.0,722.05,723.4,2244262
2022-04-25T00:00:00,711.0,719.5,695.25,715.7,4935672
2022-04-26T00:00:00,722.35,724.3,713.05,721.2,3260695
2022-04-27T00:00:00,713.0,734.2,711.0,720.6,3391522
2022-04-28T00:00:00,729.85,734.25,722.65,729.1,4079934
2022-04-29T00:00:00,731.1,740.0,723.3,727.15,3622889
2022-05-02T00:00:00,720.0,734.2,709.05,731.95,2802163
2022-05-04T00:00:00,734.0,736.0,708.05,711.55,3011231
2022-05-05T00:00:00,720.0,726.4,705.1,707.75,3131221
2022-05-06T00:00:00,695.4,700.9,680.65,690.4,3930624
2022-05-09T00:00:00,681.0,686.1,668.1,678.35,3380947
2022-05-10T00:00:00,674.0,677.0,643.1,645.3,4293241
2022-05-11T00:00:00,644.5,658.0,635.35,648.95,4158341
2022-05-12T00:00:00,647.7,651.55,620.0,624.8,4123927
2022-05-13T00:00:00,634.05,637.0,594.15,600.45,5567335
2022-05-16T00:00:00,616.0,626.7,599.05,602.3,4641172
2022-05-17T00:00:00,610.0,645.8,609.15,641.85,6309092
2022-05-18T00:00:00,642.95,644.9,628.0,631.05,4941565
2022-05-19T00:00:00,619.0,624.95,592.05,600.2,5816509
2022-05-20T00:00:00,621.0,634.3,616.7,631.1,6187868
2022-05-23T00:00:00,594.0,594.0,537.5,547.55,17554373
2022-05-24T00:00:00,548.95,556.4,537.25,539.7,7517949
2022-05-25T00:00:00,541.9,545.0,521.0,528.45,4725882
2022-05-26T00:00:00,530.5,555.7,520.05,551.7,8178844
2022-05-27T00:00:00,558.0,561.3,539.4,548.4,5193961
2022-05-30T00:00:00,530.0,544.75,525.6,538.85,12211769
2022-05-31T00:00:00,537.6,558.3,532.2,551.25,20152169
2022-06-01T00:00:00,554.05,572.35,549.2,569.5,8495547
2022-06-02T00:00:00,570.9,575.0,557.65,573.4,7010273
2022-06-03T00:00:00,576.0,581.95,559.55,562.45,6367536
